Steps Taken,Outcome,Game Type
5,Died,Without Visual Signals
2,Died,Without Visual Signals
4,Died,Without Visual Signals
6,Died,Without Visual Signals
1,Died,Without Visual Signals
4,Died,Without Visual Signals
4,Died,Without Visual Signals
4,Died,Without Visual Signals
1,Died,Without Visual Signals
5,Died,Without Visual Signals
1,Died,Without Visual Signals
3,Died,Without Visual Signals
2,Died,Without Visual Signals
3,Died,Without Visual Signals
4,Died,Without Visual Signals
4,Died,Without Visual Signals
2,Died,Without Visual Signals
3,Died,Without Visual Signals
5,Died,Without Visual Signals
5,Died,Without Visual Signals
2,Died,Without Visual Signals
2,Died,Without Visual Signals
20,Died,Without Visual Signals
2,Died,Without Visual Signals
1,Died,Without Visual Signals
4,Died,Without Visual Signals
1,Died,Without Visual Signals
4,Died,Without Visual Signals
26,Died,Without Visual Signals
4,Died,Without Visual Signals
1,Died,Without Visual Signals
2,Died,Without Visual Signals
1,Died,Without Visual Signals
2,Died,Without Visual Signals
6,Died,Without Visual Signals
1,Died,Without Visual Signals
3,Died,Without Visual Signals
19,Died,Without Visual Signals
6,Died,Without Visual Signals
4,Died,Without Visual Signals
3,Died,Without Visual Signals
1,Died,Without Visual Signals
5,Died,Without Visual Signals
2,Died,Without Visual Signals
2,Died,Without Visual Signals
3,Died,Without Visual Signals
4,Died,Without Visual Signals
3,Died,Without Visual Signals
5,Died,Without Visual Signals
6,Died,Without Visual Signals
2,Died,Without Visual Signals
1,Died,Without Visual Signals
6,Died,Without Visual Signals
6,Died,Without Visual Signals
5,Died,Without Visual Signals
5,Died,Without Visual Signals
6,Died,Without Visual Signals
1,Died,Without Visual Signals
3,Died,Without Visual Signals
4,Died,Without Visual Signals
5,Died,Without Visual Signals
5,Died,Without Visual Signals
1,Died,Without Visual Signals
5,Died,Without Visual Signals
3,Died,Without Visual Signals
3,Died,Without Visual Signals
1,Died,Without Visual Signals
6,Died,Without Visual Signals
6,Died,Without Visual Signals
3,Died,Without Visual Signals
1,Died,Without Visual Signals
2,Died,Without Visual Signals
3,Died,Without Visual Signals
5,Died,Without Visual Signals
5,Died,Without Visual Signals
6,Died,Without Visual Signals
3,Died,Without Visual Signals
6,Died,Without Visual Signals
1,Died,Without Visual Signals
6,Died,Without Visual Signals
1,Died,Without Visual Signals
2,Died,Without Visual Signals
6,Died,Without Visual Signals
6,Died,Without Visual Signals
6,Died,Without Visual Signals
5,Died,Without Visual Signals
1,Died,Without Visual Signals
